Sample Name,CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
Treatment,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,None,None,None,None,None,None,None,None,None
Elevation,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir
Depth,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe
Gene9927,34.34745208,40.07805505,42.64662293,35.8601018,39.24431914,38.17066387,30.71869807,39.29496731,41.05802451,40.46808211,32.9190883,32.4033267,29.50492192,33.19520558,43.91517442,36.77449814,31.69741157,21.97347286
Gene9928,0,0,0,0,0,0,2.844323896,0,0,0,0,0,0,0,0,0,0,0
Gene9929,15.02701028,15.18108146,14.30383626,10.40216694,15.98842632,17.90722502,19.62583488,15.00353297,10.87629788,11.81125841,18.69804216,10.59339527,12.41463928,14.56305793,17.07812339,11.05360638,15.18438878,18.17558867
Gene9930,15.02701028,15.18108146,14.30383626,10.40216694,15.98842632,17.90722502,19.62583488,15.00353297,10.87629788,11.81125841,18.69804216,10.59339527,12.41463928,14.56305793,17.07812339,11.05360638,15.18438878,18.17558867
Gene9931,307.900374,333.6801704,337.1996956,277.8473537,322.1910152,320.4450794,306.0492512,317.9320083,358.3740152,306.31821,310.2294882,342.4159235,297.1451973,304.3250783,335.7071112,308.8632705,305.2062144,318.7509952
Gene9932,0,0,0,0,0.484497767,0.235621382,0,0,0,0,0,0.934711347,0,0,0,0,0,0.542554886
Gene9933,0,0,0,0,0,0,0,0,0,0,0.263352706,0,0.161229082,0,0,0,0,0
Gene9934,0.306673679,0,1.58931514,0,0,0.706864146,0,0,0.271907447,0.580881561,0,0,0,0.428325233,0.975892765,0,0,0.813832328
Gene9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212569353,0,0
Gene9936,0,0,0,0,0,0.235621382,0,0,0,0.387254374,0,0,0,0,0,0,0,0
Gene9937,0,0,0,0,0,0,0,0,0,0,0,0,0.161229082,0,0,0,0,0
Gene9938,0.613347359,0.607243258,0.264885857,0,0,0,0.568864779,0.714453951,0.543814894,0,0.790058119,0.934711347,0.644916326,0,0,0,0,0
Gene9939,3.066736793,0,6.887032274,3.832377292,4.602728788,10.83858357,5.404215402,6.191934244,5.438148941,5.808815613,7.900581193,8.412402124,2.902123468,3.8549271,6.587276164,0,8.920828407,0
Gene9940,0,0,0,0,0,0.235621382,0,0,0.543814894,0,0,0,0,0,0,0.212569353,0.759219439,0
Gene9941,42.32096774,60.11708257,69.1352086,40.5137028,41.18231021,61.73280205,43.23372321,55.25110556,65.80160219,43.37248991,49.2469561,49.85127185,43.04816477,48.61491398,43.18325485,36.98706749,51.24731213,48.55866225
Gene9942,17.48039972,33.39837921,30.46187352,19.16188646,20.83340399,27.80332306,20.76356444,21.19546722,37.79513514,15.1029206,30.02220853,28.35291086,15.80044999,25.27118877,33.66830039,14.66728539,26.19307064,23.87241496
Gene9943,0.306673679,0.303621629,0.264885857,0.54748247,0.484497767,0,1.137729558,0,0,2.323526245,0.526705413,0.311570449,0,0,0,0.425138707,0,0
Gene9944,0.613347359,1.821729775,0,0.821223705,0,0.942485528,1.706594337,1.428907902,0,0.968135936,0,0,0,1.2849757,0.975892765,1.700554827,1.708243738,0.542554886
Gene9945,365.8616994,442.073092,484.4762319,416.6341599,399.7106579,472.4208707,398.2053454,443.4377524,470.9436983,419.0092329,457.9703565,438.6911922,392.5928135,412.6913623,500.8769616,433.641481,475.6509785,479.6185188
Gene9946,999.1428471,953.3719155,938.4905903,834.0895435,861.9215278,960.8639953,843.6264675,931.1716497,912.5213923,829.886124,926.2114685,892.9609069,831.6196026,864.1461583,796.3284962,716.1461516,806.2910441,883.0080762
Gene9947,148.4300608,149.3818415,154.9582262,147.2727845,147.5295701,140.665965,148.7581397,160.5139877,172.117414,148.3184253,154.0613333,162.3282039,152.200253,133.8516354,148.3357003,153.9002119,160.5749113,142.9632123
