CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
13.95514613,16.89529401,24.66750324,15.38355037,16.37829383,23.83777412,11.54186955,17.25173269,19.83276231,13.3983484,17.39148599,16.18939868,15.65310317,13.39470479,19.0940768,13.54217878,13.35522958,15.60787724
74.10663806,73.15718066,74.35562327,70.55541929,66.49161887,67.94426561,60.83934627,59.65870124,64.39526529,69.36401816,66.95488975,67.308336,67.12451715,60.54103861,54.94166616,53.99146148,54.84457224,57.10646849
20.05049731,29.38554436,54.32904089,24.87956912,33.22453892,41.94743246,26.50717498,31.06161724,39.42067571,20.31470281,32.35842165,36.07476941,25.59644451,34.7354209,45.66153421,32.29561484,30.06621482,31.0321324
16.62854577,18.06625498,26.93751888,15.85835131,19.61141158,19.65184336,17.31280433,19.33383836,17.97191054,17.00688114,18.93014292,16.08528679,17.65848293,19.41097051,19.13513933,15.10201089,16.6431922,16.48008215
0.106935986,0,0.151334376,0,0,0.044062429,0.146718681,0.042491952,0,0.03341234,0,0,0.055704993,0.037838149,0.164250123,0,0,0.137716564
1.497103799,1.282481063,0.958451046,1.13952225,1.531476826,1.057498297,1.075936992,1.062298811,0.832486319,1.570379987,0.979145324,0.832895109,1.11409987,1.021630027,0.739125554,1.169874083,0.779620001,0.872204905
120.7841958,124.4006631,139.1771809,104.7885669,108.5646906,118.5279342,109.7455732,110.9464878,122.2285796,101.9410498,107.7059856,109.3174831,96.98239366,105.3414072,110.4582077,89.93850149,89.04616272,99.70679225
2.726867634,2.174641803,2.471794804,2.658885249,2.850248537,4.053743473,2.787654934,4.631622817,3.525824411,2.505925511,2.611054196,3.227468548,2.451019713,4.010843808,2.299501723,2.446100356,4.203168701,2.754331278
2.726867634,2.174641803,2.471794804,2.658885249,2.850248537,4.053743473,2.787654934,4.631622817,3.525824411,2.505925511,2.611054196,3.227468548,2.451019713,4.010843808,2.299501723,2.446100356,4.203168701,2.754331278
2.566463656,1.394001156,0.302668751,1.661803281,1.276230688,0,1.809530396,0.934822954,0.195879134,2.539337852,0.979145324,0.624671332,0,0.567572237,0.246375185,1.914339409,0.508447827,0.137716564
6.576563118,3.624403005,3.632025017,5.032889936,3.445822859,3.74530647,4.205935514,3.229388386,3.08509636,6.314932289,4.103085166,4.21653149,3.704382067,3.254080825,4.147315607,5.317609469,4.237065223,3.075669927
10.15891864,13.82849147,19.82480322,10.73050118,11.44353517,16.78778547,9.732339155,10.58049616,18.02088032,8.854270141,14.26754614,13.43043363,12.42221355,11.35144474,16.99988774,9.748950694,13.2196435,15.5160662
0.588147921,0.780640647,0.706227087,0.569761125,0.425410229,0.793123723,0.146718681,0.16996781,0.783516536,0.534597442,0.559511614,0.72878322,0.557049935,0.45405779,0.492750369,0.248155109,0.135586087,0.137716564
0,0.055760046,0.050444792,0,0,0,0,0.084983905,0,0,0.046625968,0,0,0,0.041062531,0,0.067793044,0
0,0,0,0.047480094,0,0,0,0,0,0,0,0,0.027852497,0,0,0,0,0.045905521
111.2134251,127.4674657,145.8863382,114.9493069,117.1579772,131.1738513,110.0390105,122.5042989,130.9941708,111.9647519,125.0508456,112.5970076,115.058664,112.5306555,118.834964,104.7214558,112.1635906,113.065299
0.213871971,0.167280139,0.201779168,0.189920375,0.085082046,0.132187287,0.146718681,0.127475857,0,0.10023702,0.139877903,0.156167833,0.111409987,0.151352597,0.123187592,0.141802919,0.067793044,0.091811043
19.94356133,23.02889909,30.5695439,21.08116162,21.56829863,30.00651419,22.79030174,22.64821066,25.12149893,21.0497743,24.29212922,21.9676085,22.64407985,21.7947739,23.85733037,18.78888679,26.10032177,22.99866617
0,0,0.100889584,0,0,0.132187287,0,0,0,0,0,0.156167833,0,0,0.041062531,0,0.033896522,0.045905521
0,0,0.151334376,0,0,0.176249716,0,0,0.244848917,0,0.093251936,0,0,0,0.082125062,0,0,0
32.56200763,28.71642381,27.39152201,50.28141926,36.84052587,26.87808173,26.50717498,29.61689086,25.02355936,31.94219719,24.47863309,26.5485316,47.9062944,37.38409134,29.72927227,32.04745974,29.18490526,22.53961096
2.780335627,3.84744319,5.246258358,3.276126468,2.467379331,2.81999546,2.005155303,2.804468862,3.378915061,2.405688491,2.797558068,2.498685327,3.286594616,3.102728229,3.654565238,1.878888679,2.169377394,2.708425756
148.5340841,158.6373315,169.2422769,144.5294053,147.4046445,166.776294,136.7907167,151.6537783,157.7806424,150.5894171,146.5454168,145.4963644,146.6433953,152.487741,147.9482983,133.9683079,146.3651811,142.0775884
