LA1,LA2,LA3,SA1,SA2,SA3,O1,O2,O3
957.1963262,998.1863254,989.2075957,1002.226437,1008.090856,1037.145185,1011.693771,973.6126694,1011.030765
108.4489208,107.7179488,110.0590367,100.7354789,91.34008863,114.2959842,79.95972198,76.96788842,79.07503192
0,0,0,0,0,0,0.225874921,0,0
31.91936323,27.03509303,27.6093116,22.7112716,32.82883381,24.43430051,40.88336068,38.79513513,28.64452687
2.88427981,1.47848165,1.512838992,2.564175826,2.233254001,1.413554575,1.806999367,2.696988004,4.639606465
0,0.633634993,0,0,0,0,0,0,0
0.384570641,2.323328307,0,0.732621665,0.8933016,1.413554575,1.129374604,0,0.605166061
7.691412826,10.77179488,12.29181681,10.25670331,13.1761986,9.087136552,14.23012001,12.44763694,7.867158788
0,0,0.756419496,0.366310832,0,1.009681839,0,0,0.20172202
175.7487831,168.1244848,177.1912669,181.323862,174.6404629,175.8865764,165.7921919,170.3251655,172.0688832
37.49563753,35.06113627,38.57739429,20.87971744,36.84869101,30.08851881,32.30011368,40.45482006,43.37023434
2.307423848,2.534539971,0.189104874,2.197864994,2.233254001,0.807745471,2.484624129,1.867145541,2.622386263
45.18705035,42.66475619,49.73458185,37.3637049,53.37477062,35.54080074,56.24285529,59.12627547,54.86838949
5.96084494,5.069079943,4.916726723,2.197864994,3.126555601,3.432918253,3.388123813,2.282066772,2.420664242
28.45822746,19.85389644,18.72138252,13.18718996,20.09928601,19.18395494,25.52386606,19.50129787,24.20664242
144.5985611,158.1975366,131.0496777,132.2382105,137.1217956,121.7676298,176.6341881,171.5699292,191.2324751
0.769141283,0.844846657,0.189104874,0.732621665,3.796531801,0.403872736,0.677624763,0,0.40344404
98.06551353,76.45862247,76.58747396,84.9841131,88.43685843,86.0248927,94.41571692,121.1569996,110.9471111
98.06551353,76.45862247,76.58747396,84.9841131,88.43685843,86.0248927,94.41571692,121.1569996,110.9471111
98.06551353,76.45862247,76.58747396,84.9841131,88.43685843,86.0248927,94.41571692,121.1569996,110.9471111
34.61135772,27.03509303,20.99064101,15.75136579,29.92560361,15.14522759,26.42736574,32.57131666,25.82041859
116.1403337,125.8821519,143.5305993,132.9708321,164.8141453,148.8271031,118.8102084,129.6628848,148.0639628
77.87555486,107.2955255,108.5461977,90.11246475,97.59319983,101.573993,88.31709406,86.30361612,100.8610101
43.64876779,14.7848165,32.33693345,16.85029829,22.77919081,15.14522759,24.16861653,24.89527388,21.9877002
10.38340732,5.491503272,1.89104874,4.395729988,0.8933016,3.634854621,0,0,0.605166061
172.6722179,142.7790851,141.4504457,115.3879122,158.5610341,109.0456386,153.8208211,177.1713658,173.0774933
33.64993111,33.16023129,35.36261143,38.46263739,33.05215921,42.00276451,51.49948196,38.58767452,41.15129212
